id,path,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage
15970,/kaggle/input/fashion-product-images-small/images/15970.jpg,1,1,1,1,1,1,1,1
39386,/kaggle/input/fashion-product-images-small/images/39386.jpg,1,1,2,2,2,2,2,1
59263,/kaggle/input/fashion-product-images-small/images/59263.jpg,2,2,3,3,3,3,3,1
21379,/kaggle/input/fashion-product-images-small/images/21379.jpg,1,1,2,4,4,1,1,1
53759,/kaggle/input/fashion-product-images-small/images/53759.jpg,1,1,1,5,5,2,2,1
1855,/kaggle/input/fashion-product-images-small/images/1855.jpg,1,1,1,5,5,2,1,1
30805,/kaggle/input/fashion-product-images-small/images/30805.jpg,1,1,1,1,6,2,2,2
26960,/kaggle/input/fashion-product-images-small/images/26960.jpg,2,1,1,1,7,2,2,1
29114,/kaggle/input/fashion-product-images-small/images/29114.jpg,1,2,4,6,1,2,2,1
30039,/kaggle/input/fashion-product-images-small/images/30039.jpg,1,2,3,3,4,3,3,1
9204,/kaggle/input/fashion-product-images-small/images/9204.jpg,1,3,5,7,4,2,1,1
48123,/kaggle/input/fashion-product-images-small/images/48123.jpg,2,2,6,8,4,2,2,1
18653,/kaggle/input/fashion-product-images-small/images/18653.jpg,1,3,7,9,4,1,1,1
47957,/kaggle/input/fashion-product-images-small/images/47957.jpg,2,2,8,10,2,2,2,1
46885,/kaggle/input/fashion-product-images-small/images/46885.jpg,3,3,7,9,1,1,2,1
12369,/kaggle/input/fashion-product-images-small/images/12369.jpg,1,1,1,1,7,1,1,3
29928,/kaggle/input/fashion-product-images-small/images/29928.jpg,1,2,3,3,4,3,3,1
42419,/kaggle/input/fashion-product-images-small/images/42419.jpg,4,1,1,11,8,2,2,1
51832,/kaggle/input/fashion-product-images-small/images/51832.jpg,2,1,9,12,9,2,3,1
47359,/kaggle/input/fashion-product-images-small/images/47359.jpg,2,2,8,10,10,2,2,1
17429,/kaggle/input/fashion-product-images-small/images/17429.jpg,1,2,3,3,4,3,3,1
12967,/kaggle/input/fashion-product-images-small/images/12967.jpg,1,3,10,13,4,1,1,1
6842,/kaggle/input/fashion-product-images-small/images/6842.jpg,5,2,11,14,4,2,1,1
13089,/kaggle/input/fashion-product-images-small/images/13089.jpg,1,1,1,15,5,1,1,4
18461,/kaggle/input/fashion-product-images-small/images/18461.jpg,1,4,12,16,8,4,4,1
9036,/kaggle/input/fashion-product-images-small/images/9036.jpg,1,3,5,17,4,3,1,3
48311,/kaggle/input/fashion-product-images-small/images/48311.jpg,2,2,13,18,11,3,2,1
7990,/kaggle/input/fashion-product-images-small/images/7990.jpg,1,1,1,5,1,1,1,4
56019,/kaggle/input/fashion-product-images-small/images/56019.jpg,2,4,14,19,10,4,4,1
21977,/kaggle/input/fashion-product-images-small/images/21977.jpg,2,2,8,10,10,3,5,1
37812,/kaggle/input/fashion-product-images-small/images/37812.jpg,1,1,1,1,1,2,2,3
4729,/kaggle/input/fashion-product-images-small/images/4729.jpg,3,1,1,5,6,2,1,1
56825,/kaggle/input/fashion-product-images-small/images/56825.jpg,1,1,1,1,10,2,2,1
39988,/kaggle/input/fashion-product-images-small/images/39988.jpg,1,3,5,7,8,3,6,1
59051,/kaggle/input/fashion-product-images-small/images/59051.jpg,2,3,5,20,4,3,2,1
20099,/kaggle/input/fashion-product-images-small/images/20099.jpg,2,1,1,21,6,1,1,2
58183,/kaggle/input/fashion-product-images-small/images/58183.jpg,2,2,8,10,8,2,2,1
29742,/kaggle/input/fashion-product-images-small/images/29742.jpg,2,2,8,10,12,2,2,1
51658,/kaggle/input/fashion-product-images-small/images/51658.jpg,2,2,3,3,13,3,3,1
3954,/kaggle/input/fashion-product-images-small/images/3954.jpg,2,1,1,5,14,2,1,1
18839,/kaggle/input/fashion-product-images-small/images/18839.jpg,1,2,6,8,4,1,1,3
2886,/kaggle/input/fashion-product-images-small/images/2886.jpg,2,3,5,20,10,3,5,1
23278,/kaggle/input/fashion-product-images-small/images/23278.jpg,1,2,3,3,15,3,3,1
28690,/kaggle/input/fashion-product-images-small/images/28690.jpg,2,1,1,21,9,2,2,2
8580,/kaggle/input/fashion-product-images-small/images/8580.jpg,1,1,1,22,5,1,1,1
3168,/kaggle/input/fashion-product-images-small/images/3168.jpg,1,3,5,23,8,1,7,4
18005,/kaggle/input/fashion-product-images-small/images/18005.jpg,1,1,2,24,4,2,1,4
17871,/kaggle/input/fashion-product-images-small/images/17871.jpg,1,1,9,25,16,3,3,1
9452,/kaggle/input/fashion-product-images-small/images/9452.jpg,1,1,1,1,17,1,1,3
38402,/kaggle/input/fashion-product-images-small/images/38402.jpg,2,2,6,8,4,2,2,1
44984,/kaggle/input/fashion-product-images-small/images/44984.jpg,2,2,3,3,8,3,3,1
10268,/kaggle/input/fashion-product-images-small/images/10268.jpg,1,3,5,17,4,1,2,3
45856,/kaggle/input/fashion-product-images-small/images/45856.jpg,2,1,1,21,10,2,2,2
32138,/kaggle/input/fashion-product-images-small/images/32138.jpg,1,1,9,25,2,2,3,1
59435,/kaggle/input/fashion-product-images-small/images/59435.jpg,1,3,5,17,4,2,2,3
5891,/kaggle/input/fashion-product-images-small/images/5891.jpg,1,1,1,5,4,2,1,1
38630,/kaggle/input/fashion-product-images-small/images/38630.jpg,2,1,1,5,7,2,2,1
4943,/kaggle/input/fashion-product-images-small/images/4943.jpg,1,1,1,1,8,2,1,1
11188,/kaggle/input/fashion-product-images-small/images/11188.jpg,1,2,3,3,3,3,3,1
10866,/kaggle/input/fashion-product-images-small/images/10866.jpg,1,1,1,5,17,1,1,1
59607,/kaggle/input/fashion-product-images-small/images/59607.jpg,2,1,15,26,5,1,2,2
15528,/kaggle/input/fashion-product-images-small/images/15528.jpg,1,1,1,5,4,1,1,1
